id,name,code,description,price,billing_type,access_type,status,sort_order,is_featured,trial_days,benefits,created_at,updated_at
631d4967-bb84-4169-b274-599172d78536,Basic,BASIC,সীমিত ইবুক অ্যাক্সেস,99,monthly,ebook,active,1,false,0,"[""সীমিত ইবুক পড়ুন"",""বিজ্ঞাপন সহ"",""মাসিক ৫০টি ইবুক""]",2026-03-29 15:47:22.513602+00,2026-03-29 15:47:22.513602+00
7af9521b-ca8c-4ef6-a082-c4b15a7121e9,Premium,PREMIUM,সম্পূর্ণ অ্যাক্সেস - সব কন্টেন্ট,199,monthly,premium,active,3,false,7,"[""আনলিমিটেড ইবুক পড়ুন"",""আনলিমিটেড অডিওবুক শুনুন"",""প্রিমিয়াম এক্সক্লুসিভ কন্টেন্ট"",""বিজ্ঞাপনমুক্ত অভিজ্ঞতা"",""হার্ডকপিতে ১০% ছাড়"",""নতুন রিলিজে আর্লি অ্যাক্সেস""]",2026-03-29 15:47:22.513602+00,2026-03-29 15:47:22.513602+00
d5fb5063-afdc-437b-a68b-ce3103febef7,Standard,STANDARD,আনলিমিটেড ইবুক + সীমিত অডিওবুক,149,monthly,both,active,2,true,7,"[""আনলিমিটেড ইবুক পড়ুন"",""সীমিত অডিওবুক শুনুন"",""বিজ্ঞাপনমুক্ত অভিজ্ঞতা"",""হার্ডকপিতে ৫% ছাড়""]",2026-03-29 15:47:22.513602+00,2026-03-29 15:47:22.513602+00
