id,name,coins,price,bonus_coins,is_active,is_featured,sort_order,created_at,updated_at
7b7cf5fa-7723-4024-9394-406787ca8b76,Best Value,1800,100,400,true,false,3,2026-04-01 14:18:21.648059+00,2026-04-01 14:18:21.648059+00
84bd74f4-eace-472d-83fe-354cbdcf80a5,Starter,250,20,50,true,false,1,2026-04-01 14:18:21.648059+00,2026-04-01 14:18:21.648059+00
a91f4a6f-1fb7-44f2-8326-c826615d09d0,Ultimate,7000,300,1500,true,false,5,2026-04-01 14:18:21.648059+00,2026-04-01 14:18:21.648059+00
a9a5a970-9be0-4753-a963-2c652f6d4862,Popular,750,50,150,true,true,2,2026-04-01 14:18:21.648059+00,2026-04-01 14:18:21.648059+00
b1d41a7f-58f5-43ac-b82d-c159f15cddbf,Premium,4000,200,1000,true,false,4,2026-04-01 14:18:21.648059+00,2026-04-01 14:18:21.648059+00
