id,role_id,module,can_view,can_create,can_edit,can_delete,created_at
a5d011a6-8474-411e-9bf4-13d85e4925b7,b90a8b8d-2926-4f6f-ab98-8461300b086c,revenue,false,false,false,false,2026-04-01 18:52:27.160855+00
a64f79e6-790f-483c-b660-c1dfab61f361,e893157b-5528-4f85-a615-86b460462153,users,true,false,false,false,2026-03-25 04:23:16.957927+00
aab66978-b301-42c3-9950-3994a5c96f42,e893157b-5528-4f85-a615-86b460462153,reports,true,false,false,false,2026-03-25 04:23:16.957927+00
ba3f58cc-cdf7-4040-a8c0-c5f896bf14ed,7cccb2e9-e1f5-40e4-8a9f-528ae0c4e54a,analytics,true,true,true,true,2026-03-25 04:23:16.957927+00
c1e7b059-9ba1-4397-a54d-c51ba2b0137a,e893157b-5528-4f85-a615-86b460462153,subscriptions,true,false,true,false,2026-03-25 04:23:16.957927+00
c58c3697-fa52-4b1a-b40f-496913ad56e9,b90a8b8d-2926-4f6f-ab98-8461300b086c,books,true,true,true,true,2026-04-01 18:52:27.160855+00
c7656fe7-efff-4545-adfa-d2e5990ad99c,7cccb2e9-e1f5-40e4-8a9f-528ae0c4e54a,payments,true,true,true,true,2026-03-25 04:23:16.957927+00
cb9c7ecf-3b3e-4074-aa4a-fb8720a00a99,e893157b-5528-4f85-a615-86b460462153,support,true,true,true,false,2026-03-25 04:23:16.957927+00
d09a9be1-59e7-4e26-8315-f902ba653613,b90a8b8d-2926-4f6f-ab98-8461300b086c,reports,false,false,false,false,2026-04-01 18:52:27.160855+00
d835b717-51cc-4f31-9ff2-ea532a80a5d8,b90a8b8d-2926-4f6f-ab98-8461300b086c,notifications,false,false,false,false,2026-04-01 18:52:27.160855+00
dabe0cba-1a34-48cf-9ca1-a7649181f9aa,7cccb2e9-e1f5-40e4-8a9f-528ae0c4e54a,shipping,true,true,true,true,2026-03-25 04:23:16.957927+00
df7e30e1-1767-48d3-b104-d8ecf590fb64,b90a8b8d-2926-4f6f-ab98-8461300b086c,coupons,false,false,false,false,2026-04-01 18:52:27.160855+00
df7eabfb-de5d-4e97-92e2-b236b9121b8b,7cccb2e9-e1f5-40e4-8a9f-528ae0c4e54a,support,true,true,true,true,2026-03-25 04:23:16.957927+00
e9e96f1f-84d5-47f7-9a7d-3ca673a73b5c,b90a8b8d-2926-4f6f-ab98-8461300b086c,roles,false,false,false,false,2026-04-01 18:52:27.160855+00
f65f9d19-0a0b-4b70-94b9-2e9b535185c6,7cccb2e9-e1f5-40e4-8a9f-528ae0c4e54a,email,true,true,true,true,2026-03-25 04:23:16.957927+00
f9ea7d71-713d-4cbe-9aa5-392851e8e434,b90a8b8d-2926-4f6f-ab98-8461300b086c,content,true,true,true,true,2026-04-01 18:52:27.160855+00
